State_name,State_code,Year,Population,Sex,Median_household_income,Age_label,Age_group
Alabama,01,2021,5050380,0,53913.0,All ages,All ages
Alabama,01,2022,5073903,0,59674.0,All ages,All ages
Alabama,01,2023,5108468,0,62212.0,All ages,All ages
Alabama,01,2021,57503,0,53913.0,1,0-18
Alabama,01,2022,57244,0,59674.0,1,0-18
Alabama,01,2023,58419,0,62212.0,1,0-18
Alabama,01,2021,58637,0,53913.0,2,0-18
Alabama,01,2022,58117,0,59674.0,2,0-18
Alabama,01,2023,58006,0,62212.0,2,0-18
Alabama,01,2021,60349,0,53913.0,3,0-18
Alabama,01,2022,59125,0,59674.0,3,0-18
Alabama,01,2023,59016,0,62212.0,3,0-18
Alabama,01,2021,60939,0,53913.0,4,0-18
Alabama,01,2022,60899,0,59674.0,4,0-18
Alabama,01,2023,59779,0,62212.0,4,0-18
Alabama,01,2021,62025,0,53913.0,5,0-18
Alabama,01,2022,61437,0,59674.0,5,0-18
Alabama,01,2023,61507,0,62212.0,5,0-18
Alabama,01,2021,62259,0,53913.0,6,0-18
Alabama,01,2022,62540,0,59674.0,6,0-18
Alabama,01,2023,61999,0,62212.0,6,0-18
Alabama,01,2021,61783,0,53913.0,7,0-18
Alabama,01,2022,62864,0,59674.0,7,0-18
Alabama,01,2023,62999,0,62212.0,7,0-18
Alabama,01,2021,61049,0,53913.0,8,0-18
Alabama,01,2022,62180,0,59674.0,8,0-18
Alabama,01,2023,63416,0,62212.0,8,0-18
Alabama,01,2021,61481,0,53913.0,9,0-18
Alabama,01,2022,61596,0,59674.0,9,0-18
Alabama,01,2023,62673,0,62212.0,9,0-18
Alabama,01,2021,62185,0,53913.0,10,0-18
Alabama,01,2022,61956,0,59674.0,10,0-18
Alabama,01,2023,62154,0,62212.0,10,0-18
Alabama,01,2021,63785,0,53913.0,11,0-18
Alabama,01,2022,62637,0,59674.0,11,0-18
Alabama,01,2023,62540,0,62212.0,11,0-18
Alabama,01,2021,65831,0,53913.0,12,0-18
Alabama,01,2022,64327,0,59674.0,12,0-18
Alabama,01,2023,63387,0,62212.0,12,0-18
Alabama,01,2021,68399,0,53913.0,13,0-18
Alabama,01,2022,66279,0,59674.0,13,0-18
Alabama,01,2023,64905,0,62212.0,13,0-18
Alabama,01,2021,67980,0,53913.0,14,0-18
Alabama,01,2022,68931,0,59674.0,14,0-18
Alabama,01,2023,66848,0,62212.0,14,0-18
Alabama,01,2021,66307,0,53913.0,15,0-18
Alabama,01,2022,68484,0,59674.0,15,0-18
Alabama,01,2023,69479,0,62212.0,15,0-18
Alabama,01,2023,68941,0,62212.0,16,0-18
Alabama,01,2021,65301,0,53913.0,16,0-18
Alabama,01,2022,66714,0,59674.0,16,0-18
Alabama,01,2021,65451,0,53913.0,17,0-18
Alabama,01,2022,65554,0,59674.0,17,0-18
Alabama,01,2023,66887,0,62212.0,17,0-18
Alabama,01,2021,66943,0,53913.0,18,0-18
Alabama,01,2022,67447,0,59674.0,18,0-18
Alabama,01,2023,67793,0,62212.0,18,0-18
Alabama,01,2021,70188,0,53913.0,19,19-30
Alabama,01,2022,70359,0,59674.0,19,19-30
Alabama,01,2023,71779,0,62212.0,19,19-30
Alabama,01,2021,69571,0,53913.0,20,19-30
Alabama,01,2022,67944,0,59674.0,20,19-30
Alabama,01,2023,68567,0,62212.0,20,19-30
Alabama,01,2021,69374,0,53913.0,21,19-30
Alabama,01,2022,69473,0,59674.0,21,19-30
Alabama,01,2023,68152,0,62212.0,21,19-30
Alabama,01,2021,67551,0,53913.0,22,19-30
Alabama,01,2022,69035,0,59674.0,22,19-30
Alabama,01,2023,69247,0,62212.0,22,19-30
Alabama,01,2021,66549,0,53913.0,23,19-30
Alabama,01,2022,67064,0,59674.0,23,19-30
Alabama,01,2023,68558,0,62212.0,23,19-30
Alabama,01,2021,64383,0,53913.0,24,19-30
Alabama,01,2022,65698,0,59674.0,24,19-30
Alabama,01,2023,66199,0,62212.0,24,19-30
Alabama,01,2021,63041,0,53913.0,25,19-30
Alabama,01,2022,63598,0,59674.0,25,19-30
Alabama,01,2023,64933,0,62212.0,25,19-30
Alabama,01,2021,63470,0,53913.0,26,19-30
Alabama,01,2022,62630,0,59674.0,26,19-30
Alabama,01,2023,63403,0,62212.0,26,19-30
Alabama,01,2021,64695,0,53913.0,27,19-30
Alabama,01,2022,63362,0,59674.0,27,19-30
Alabama,01,2023,62633,0,62212.0,27,19-30
Alabama,01,2021,65721,0,53913.0,28,19-30
Alabama,01,2022,64767,0,59674.0,28,19-30
Alabama,01,2023,63533,0,62212.0,28,19-30
Alabama,01,2021,67481,0,53913.0,29,19-30
Alabama,01,2022,65957,0,59674.0,29,19-30
Alabama,01,2023,65238,0,62212.0,29,19-30
Alabama,01,2022,67673,0,59674.0,30,19-30
Alabama,01,2021,69263,0,53913.0,30,19-30
Alabama,01,2023,66208,0,62212.0,30,19-30
Alabama,01,2021,69456,0,53913.0,31,31-45
Alabama,01,2022,69486,0,59674.0,31,31-45
Alabama,01,2023,68027,0,62212.0,31,31-45
